dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
LMD-matched,1000,97,2,Instrument,1.3765594265143033,4472244,1000
LMD-matched,1000,97,3,Instrument,1.127335001029512,4472244,1000
LMD-matched,1000,97,4,Instrument,1.0594783457884016,4472244,999
LMD-matched,1000,97,5,Instrument,1.0397697793749052,4472244,999
LMD-matched,1000,97,6,Instrument,1.1036587354722167,4472244,998
LMD-matched,1000,97,7,Instrument,1.163171356574903,4472244,977
LMD-matched,1000,97,8,Instrument,1.13919781140488,4472244,981
LMD-matched,1000,97,9,Instrument,1.156734033102935,4472244,1000
LMD-matched,1000,97,10,Instrument,1.1065067859891151,4472244,998
LMD-matched,1000,97,11,Instrument,1.0487835173666684,4472244,1000
LMD-matched,1000,97,12,Instrument,1.3424341395779615,4472244,1000
LMD-matched,1000,97,1,Tempo,0.1110805377372019,4472244,1000
LMD-matched,1000,97,2,Tempo,0.0719059974683724,4472244,1000
LMD-matched,1000,97,3,Tempo,0.0602268370509829,4472244,1000
LMD-matched,1000,97,4,Tempo,0.0440852213820273,4472244,999
LMD-matched,1000,97,5,Tempo,0.0509626874686779,4472244,999
LMD-matched,1000,97,6,Tempo,0.0609320201033235,4472244,998
LMD-matched,1000,97,7,Tempo,0.0846822237453757,4472244,977
LMD-matched,1000,97,8,Tempo,0.0720452893301522,4472244,981
LMD-matched,1000,97,9,Tempo,0.0624800126340576,4472244,1000
LMD-matched,1000,97,10,Tempo,0.069373411608131,4472244,998
LMD-matched,1000,97,11,Tempo,0.074282963791743,4472244,1000
LMD-matched,1000,97,12,Tempo,0.1701873086659626,4472244,1000
LMD-matched,1000,97,1,Time signature,0.0574033858543986,4472244,1000
LMD-matched,1000,97,2,Time signature,0.048926465871648,4472244,1000
LMD-matched,1000,97,3,Time signature,0.0449050324415906,4472244,1000
LMD-matched,1000,97,4,Time signature,0.0366546284160064,4472244,999
LMD-matched,1000,97,5,Time signature,0.0455633902558223,4472244,999
LMD-matched,1000,97,6,Time signature,0.0471806916976347,4472244,998
LMD-matched,1000,97,7,Time signature,0.0540742613923158,4472244,977
LMD-matched,1000,97,8,Time signature,0.04782296067217,4472244,981
LMD-matched,1000,97,9,Time signature,0.0446806383198829,4472244,1000
LMD-matched,1000,97,10,Time signature,0.0537570859355924,4472244,998
LMD-matched,1000,97,11,Time signature,0.0515927132188407,4472244,1000
LMD-matched,1000,97,12,Time signature,0.0952062147082349,4472244,1000
LMD-matched,1000,97,1,Velocity,0.7139716413694183,4472244,1000
LMD-matched,1000,97,2,Velocity,0.4866040282295997,4472244,1000
LMD-matched,1000,97,3,Velocity,0.234723402084142,4472244,1000
LMD-matched,1000,97,4,Velocity,0.1265125947802727,4472244,999
LMD-matched,1000,97,5,Velocity,0.1114951278345822,4472244,999
LMD-matched,1000,97,6,Velocity,0.3215774271020719,4472244,998
