dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
SOD,2000,1,7,Time signature,0.1531926995919076,15660784,0
SOD,2000,1,8,Time signature,0.1297981102589852,15660784,0
SOD,2000,1,9,Time signature,0.1234252363361441,15660784,0
SOD,2000,1,10,Time signature,0.1406491677848455,15660784,0
SOD,2000,1,11,Time signature,0.1475222576373989,15660784,0
SOD,2000,1,12,Time signature,0.2517468573885013,15660784,0
SOD,2000,1,1,Velocity,0.3397623227406938,15660784,0
SOD,2000,1,2,Velocity,0.2395458814649298,15660784,0
SOD,2000,1,3,Velocity,0.1614519471889749,15660784,0
SOD,2000,1,4,Velocity,0.0737055580750064,15660784,0
SOD,2000,1,5,Velocity,0.0722164659724878,15660784,0
SOD,2000,1,6,Velocity,0.154217253726361,15660784,0
SOD,2000,1,7,Velocity,0.1796793251962138,15660784,0
SOD,2000,1,8,Velocity,0.218396459395263,15660784,0
SOD,2000,1,9,Velocity,0.1009838315964297,15660784,0
SOD,2000,1,10,Velocity,0.1033277297429475,15660784,0
SOD,2000,1,11,Velocity,0.0964758568067022,15660784,0
SOD,2000,1,12,Velocity,0.6757264083898594,15660784,0
SOD,2000,2,1,Bar,0.2541480223992659,15660784,0
SOD,2000,2,2,Bar,0.3332129387146331,15660784,0
SOD,2000,2,3,Bar,0.3423857817129523,15660784,0
SOD,2000,2,4,Bar,0.3748355292624656,15660784,0
SOD,2000,2,5,Bar,0.4720871643637259,15660784,0
SOD,2000,2,6,Bar,0.4550010648495545,15660784,0
SOD,2000,2,7,Bar,0.3474351807835773,15660784,0
SOD,2000,2,8,Bar,0.3838152477220093,15660784,0
SOD,2000,2,9,Bar,0.4443790402298431,15660784,0
SOD,2000,2,10,Bar,0.364261677813523,15660784,0
SOD,2000,2,11,Bar,0.2089808739993647,15660784,0
SOD,2000,2,12,Bar,0.1145829770285787,15660784,0
SOD,2000,2,1,Duration,1.7078172327414838,15660784,0
SOD,2000,2,2,Duration,1.045420236611802,15660784,0
SOD,2000,2,3,Duration,1.1659156569526834,15660784,0
SOD,2000,2,4,Duration,0.7004459967820142,15660784,0
SOD,2000,2,5,Duration,0.7006426776175234,15660784,0
SOD,2000,2,6,Duration,0.6358255666233675,15660784,0
SOD,2000,2,7,Duration,0.9209572178090604,15660784,0
SOD,2000,2,8,Duration,0.6716920179918965,15660784,0
SOD,2000,2,9,Duration,0.5375308146913234,15660784,0
SOD,2000,2,10,Duration,0.6680083659411283,15660784,0
SOD,2000,2,11,Duration,0.7604648845069378,15660784,0
SOD,2000,2,12,Duration,1.1278017739064772,15660784,0
SOD,2000,2,1,Pitch,1.5205152393066863,15660784,0
SOD,2000,2,2,Pitch,1.8439064582478728,15660784,0
SOD,2000,2,3,Pitch,1.4659103929141717,15660784,0
SOD,2000,2,4,Pitch,1.9840762986917493,15660784,0
SOD,2000,2,5,Pitch,0.9384170516333508,15660784,0
SOD,2000,2,6,Pitch,0.7958420538700737,15660784,0
SOD,2000,2,7,Pitch,0.5175804925360064,15660784,0
SOD,2000,2,8,Pitch,0.7285788210231724,15660784,0
SOD,2000,2,9,Pitch,1.5958812062532126,15660784,0
SOD,2000,2,10,Pitch,2.0112763792268398,15660784,0
SOD,2000,2,11,Pitch,2.8736129171210334,15660784,0
SOD,2000,2,12,Pitch,2.750450801734317,15660784,0
SOD,2000,2,1,Position,0.9090871354612248,15660784,0
SOD,2000,2,2,Position,1.685158752898842,15660784,0
SOD,2000,2,3,Position,1.9849107982644525,15660784,0
SOD,2000,2,4,Position,1.731450307979972,15660784,0
SOD,2000,2,5,Position,2.111360566939931,15660784,0
SOD,2000,2,6,Position,1.947142715148456,15660784,0
SOD,2000,2,7,Position,1.9943071766974572,15660784,0
SOD,2000,2,8,Position,1.889751361172154,15660784,0
SOD,2000,2,9,Position,1.8345137724849725,15660784,0
SOD,2000,2,10,Position,2.14888222909538,15660784,0
SOD,2000,2,11,Position,2.1346666490834725,15660784,0
SOD,2000,2,12,Position,0.8101095395352821,15660784,0
SOD,2000,2,1,Instrument,0.8337565097796986,15660784,0
SOD,2000,2,2,Instrument,0.7949369959809289,15660784,0
SOD,2000,2,3,Instrument,0.631227583011259,15660784,0
SOD,2000,2,4,Instrument,0.5029785525798895,15660784,0
SOD,2000,2,5,Instrument,0.5188470862622472,15660784,0
SOD,2000,2,6,Instrument,0.6053053833797979,15660784,0
SOD,2000,2,7,Instrument,0.5768309158392282,15660784,0
SOD,2000,2,8,Instrument,0.5098738887870343,15660784,0
SOD,2000,2,9,Instrument,0.5739298318720716,15660784,0
SOD,2000,2,10,Instrument,0.4736528232891905,15660784,0
SOD,2000,2,11,Instrument,0.406429299646449,15660784,0
SOD,2000,2,12,Instrument,0.7023094508175131,15660784,0
SOD,2000,2,1,Tempo,0.0927640991976654,15660784,0
SOD,2000,2,2,Tempo,0.0747512389934682,15660784,0
SOD,2000,2,3,Tempo,0.0741070821637478,15660784,0
SOD,2000,2,4,Tempo,0.0515487892647463,15660784,0
SOD,2000,2,5,Tempo,0.0605873722083765,15660784,0
SOD,2000,2,6,Tempo,0.0663591927421597,15660784,0
SOD,2000,2,7,Tempo,0.0740211145288144,15660784,0
SOD,2000,2,8,Tempo,0.0627903843081686,15660784,0
SOD,2000,2,9,Tempo,0.0603172625796166,15660784,0
SOD,2000,2,10,Tempo,0.0684816433728436,15660784,0
SOD,2000,2,11,Tempo,0.0646179631658922,15660784,0
SOD,2000,2,12,Tempo,0.1490080801481291,15660784,0
